LogLevel: INFO  | Date: 2024-07-16 17:44:57 | From: Version                        | Message: HV000001: Hibernate Validator 8.0.1.Final
LogLevel: INFO  | Date: 2024-07-16 17:44:57 | From: UserControllerTest             | Message: Starting UserControllerTest using Java 21.0.2 with PID 90850 (started by alicepogam in /Users/alicepogam/Documents/Formation OCR/F. Java/P7/Poseidon)
LogLevel: INFO  | Date: 2024-07-16 17:44:57 | From: UserControllerTest             | Message: No active profile set, falling back to 1 default profile: "default"
LogLevel: INFO  | Date: 2024-07-16 17:45:00 | From: DefaultSecurityFilterChain     | Message: Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1923a29a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6dbf042, org.springframework.security.web.context.SecurityContextHolderFilter@ae094e8, org.springframework.security.web.header.HeaderWriterFilter@24bd88df, org.springframework.web.filter.CorsFilter@61c0a61, org.springframework.security.web.csrf.CsrfFilter@74faa12, org.springframework.security.web.authentication.logout.LogoutFilter@2e3ec0e9, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7a0ebd12, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@41576e84, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@66121af9, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@10d1f6da, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7a845f91, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4568ef38, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@62a153d3, org.springframework.security.web.access.ExceptionTranslationFilter@34692767, org.springframework.security.web.access.intercept.AuthorizationFilter@286cd3ad]
LogLevel: INFO  | Date: 2024-07-16 17:45:00 | From: SpringBootMockServletContext   | Message: Initializing Spring TestDispatcherServlet ''
LogLevel: INFO  | Date: 2024-07-16 17:45:00 | From: TestDispatcherServlet          | Message: Initializing Servlet ''
LogLevel: INFO  | Date: 2024-07-16 17:45:00 | From: TestDispatcherServlet          | Message: Completed initialization in 1 ms
LogLevel: INFO  | Date: 2024-07-16 17:45:00 | From: UserControllerTest             | Message: Started UserControllerTest in 3.324 seconds (process running for 4.798)
LogLevel: INFO  | Date: 2024-07-16 17:45:00 | From: EndpointListener               | Message: Endpoint requested: GET http://localhost/user/add
LogLevel: INFO  | Date: 2024-07-16 17:45:01 | From: EndpointListener               | Message: Response: Status 200 OK
LogLevel: INFO  | Date: 2024-07-16 17:45:01 | From: EndpointListener               | Message: Endpoint requested: GET http://localhost/user/delete/1
LogLevel: INFO  | Date: 2024-07-16 17:45:01 | From: EndpointListener               | Message: URL requested: POST http://localhost/user/validate?_csrf=DN03xpng2CNAZ0Eah2fEWV4Cfx1q4CKO71ld3qAtHF8g_O3iNbgD8qjS7RFtUycrt0rwaG41UnwIhBCj1m045pQaeG0VmYuD
LogLevel: INFO  | Date: 2024-07-16 17:45:01 | From: EndpointListener               | Message: Response: Status 200 OK
LogLevel: INFO  | Date: 2024-07-16 17:45:01 | From: EndpointListener               | Message: URL requested: POST http://localhost/user/validate?_csrf=LH6DXBWVVRcZ9sZJsQ-89Qc_cw8z9CtRknER61-L5BvW5dQ7G0nnZCH3M3Q0laJ7gCKIwjZZXjdRkRt880J1jWm-1X3jhONZ
LogLevel: INFO  | Date: 2024-07-16 17:45:01 | From: EndpointListener               | Message: URL requested: POST http://localhost/user/update/1?_csrf=2bWnm0nLkeXJ_MCr1O-OAmIwrl1Ydre2hvy7Asqoai2VFOpI7tPBr3n8pIPkzaaf5sK6ZgAJg2Q8RY-b55qJYPieU0-kdt4p
LogLevel: INFO  | Date: 2024-07-16 17:45:01 | From: EndpointListener               | Message: Endpoint requested: GET http://localhost/user/list
LogLevel: INFO  | Date: 2024-07-16 17:45:01 | From: EndpointListener               | Message: Response: Status 200 OK
LogLevel: INFO  | Date: 2024-07-16 17:45:01 | From: EndpointListener               | Message: Endpoint requested: GET http://localhost/user/update/1
LogLevel: INFO  | Date: 2024-07-16 17:45:01 | From: EndpointListener               | Message: Response: Status 200 OK
LogLevel: INFO  | Date: 2024-07-16 17:45:01 | From: AnnotationConfigContextLoaderUtils | Message: Could not detect default configuration classes for test class [com.poseidoncapitalsolution.trading.controller.BidControllerTest]: BidControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
LogLevel: INFO  | Date: 2024-07-16 17:45:01 | From: SpringBootTestContextBootstrapper | Message: Found @SpringBootConfiguration com.poseidoncapitalsolution.trading.PoseidonTradingApplication for test class com.poseidoncapitalsolution.trading.controller.BidControllerTest
LogLevel: INFO  | Date: 2024-07-16 17:45:01 | From: RestartApplicationListener     | Message: Restart disabled due to context in which it is running
LogLevel: INFO  | Date: 2024-07-16 17:45:01 | From: BidControllerTest              | Message: Starting BidControllerTest using Java 21.0.2 with PID 90850 (started by alicepogam in /Users/alicepogam/Documents/Formation OCR/F. Java/P7/Poseidon)
LogLevel: INFO  | Date: 2024-07-16 17:45:01 | From: BidControllerTest              | Message: No active profile set, falling back to 1 default profile: "default"
LogLevel: INFO  | Date: 2024-07-16 17:45:02 | From: DefaultSecurityFilterChain     | Message: Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5fe74841, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@14c35a06, org.springframework.security.web.context.SecurityContextHolderFilter@4691b83d, org.springframework.security.web.header.HeaderWriterFilter@21eaf75b, org.springframework.web.filter.CorsFilter@3cb4e32b, org.springframework.security.web.csrf.CsrfFilter@66837d7b, org.springframework.security.web.authentication.logout.LogoutFilter@42e6cd6f, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@47bdfc41, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@11084cb5, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@29866f6d, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@33c4dc6c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3b847d31, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@672e3f24, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4cc69f5c, org.springframework.security.web.access.ExceptionTranslationFilter@1ce803d6, org.springframework.security.web.access.intercept.AuthorizationFilter@7198edd]
LogLevel: INFO  | Date: 2024-07-16 17:45:02 | From: SpringBootMockServletContext   | Message: Initializing Spring TestDispatcherServlet ''
LogLevel: INFO  | Date: 2024-07-16 17:45:02 | From: TestDispatcherServlet          | Message: Initializing Servlet ''
LogLevel: INFO  | Date: 2024-07-16 17:45:02 | From: TestDispatcherServlet          | Message: Completed initialization in 1 ms
LogLevel: INFO  | Date: 2024-07-16 17:45:02 | From: BidControllerTest              | Message: Started BidControllerTest in 0.454 seconds (process running for 6.105)
LogLevel: INFO  | Date: 2024-07-16 17:45:02 | From: EndpointListener               | Message: Endpoint requested: GET http://localhost/bid/add
LogLevel: INFO  | Date: 2024-07-16 17:45:02 | From: EndpointListener               | Message: Response: Status 200 OK
LogLevel: INFO  | Date: 2024-07-16 17:45:02 | From: EndpointListener               | Message: URL requested: POST http://localhost/bid/update/1?_csrf=vbAkZlS2_jqnQms94NZLu8uanneGRCGGZPSRBRZ0YBwxFpzf2NUcXmfXyQiKe1pZ0Pt_ifupsxa2fUKrV8OmNyYXUS4CIf28
LogLevel: INFO  | Date: 2024-07-16 17:45:02 | From: EndpointListener               | Message: Response: Status 200 OK
LogLevel: INFO  | Date: 2024-07-16 17:45:02 | From: EndpointListener               | Message: Endpoint requested: GET http://localhost/bid/update/1
LogLevel: INFO  | Date: 2024-07-16 17:45:02 | From: EndpointListener               | Message: Response: Status 200 OK
